Entrer la duree de cuisson (mn) > 0 (attention : apres la frappe du premier chiffre, vous avez 5 secondes pour saisir la valeur)
60 mn 
Par defaut le gabarit est 5, voulez-vous le changer o/n ?
Choisir le gabarit 1 -> 9 
Voulez-vous continuer ? taper O
Duree de cuisson 60 mn - 
Le gabarit choisi est : 7
1 - attente de la cmd start
Cuisson en cours
t;T1 (degres C);T2 (degres C);Tcons (degres C);Dich (s);Ach;Dur (mn))
0.50;20.75;21.25;21.57;1.56;1;81.56;
1.00;20.81;21.25;21.89;3.13;1;81.06;
1.50;20.75;21.25;22.21;4.69;1;80.56;
2.00;20.81;21.25;22.52;6.26;1;80.06;
2.50;20.81;21.25;22.84;7.82;1;79.56;
3.00;20.81;21.31;23.16;9.08;1;79.06;
3.50;20.81;21.31;23.48;10.64;1;78.56;
4.00;20.87;21.37;23.80;11.90;1;78.06;
4.50;20.87;21.56;24.12;12.27;1;77.56;
5.00;20.87;21.75;24.44;12.27;1;77.06;
5.50;20.94;22.06;24.76;12.27;1;76.56;
6.00;20.87;22.50;25.08;12.27;1;76.06;
6.50;20.94;23.06;25.39;11.44;1;75.56;
7.00;20.94;23.87;25.71;9.02;1;75.06;
7.50;21.00;24.81;26.03;5.98;1;74.56;
8.00;21.06;25.94;26.35;2.02;1;74.06;
8.50;21.12;27.31;26.67;0.00;1;73.56;
9.00;21.25;28.87;26.99;0.00;1;73.06;
9.50;21.31;30.44;27.31;0.00;1;72.56;
0.00;21.44;31.94;27.62;0.00;1;72.06;
0.50;21.62;33.50;29.39;0.00;1;71.56;
1.00;21.69;34.88;31.10;0.00;1;71.06;
1.50;21.87;36.19;32.76;0.00;1;70.56;
2.00;22.06;37.38;34.37;0.00;1;70.06;
2.50;22.25;38.50;35.92;0.00;1;69.56;
3.00;22.44;39.44;37.43;0.00;1;69.06;
3.50;22.62;40.38;38.90;0.00;1;68.56;
4.00;22.75;41.19;40.32;0.00;1;68.06;
4.50;22.87;41.88;41.69;0.00;1;67.56;
5.00;23.06;42.44;43.02;2.88;1;67.06;
5.50;23.25;43.00;44.32;6.45;1;66.56;
6.00;23.37;43.50;45.57;10.14;1;66.06;
6.50;23.56;44.00;46.78;12.27;1;65.56;
7.00;23.75;44.50;47.96;12.27;1;65.06;
7.50;23.75;45.06;49.10;12.27;1;64.56;
8.00;23.87;45.88;50.20;12.27;1;64.06;
8.50;24.06;46.81;51.27;12.27;1;63.56;
9.00;24.25;48.06;52.31;12.27;1;63.06;
9.50;24.25;49.63;53.31;12.27;1;62.56;
10.00;24.50;51.50;54.29;12.27;1;62.06;
10.50;24.69;53.69;55.23;7.59;1;61.56;
11.00;24.75;56.19;56.15;0.00;1;61.06;
11.50;24.87;58.94;57.04;0.00;1;60.56;
12.00;25.37;61.69;57.90;0.00;1;60.06;
12.50;25.75;64.12;58.73;0.00;1;59.56;
13.00;25.87;66.25;59.54;0.00;1;59.06;
13.50;26.31;67.94;60.32;0.00;1;58.56;
14.00;26.87;69.31;61.08;0.00;1;58.06;
14.50;27.06;70.44;61.82;0.00;1;57.56;
15.00;27.31;71.31;62.53;0.00;1;57.06;
15.50;27.62;71.94;63.22;0.00;1;56.56;
16.00;27.94;72.44;63.89;0.00;1;56.06;
16.50;28.06;72.75;64.54;0.00;1;55.56;
17.00;28.50;72.94;65.17;0.00;1;55.06;
